question,answer
"Take the last letters of each words in ""Lucas Carl Tracey Valerie"" and concatenate them.",slye
"Take the last letters of each words in ""Danny Sammy Fredy Dave"" and concatenate them.",yyye
"Take the last letters of each words in ""Yolanda Elisa Anna Ashley"" and concatenate them.",aaay
"Take the last letters of each words in ""Julie Darryl Will Jackie"" and concatenate them.",elle
"Take the last letters of each words in ""Rick Jessie Eddy Brent"" and concatenate them.",keyt
"Take the last letters of each words in ""Darlene Jean Enrique Mitchell"" and concatenate them.",enel
"Take the last letters of each words in ""Elmer Tatiana Orlando Allan"" and concatenate them.",raon
"Take the last letters of each words in ""Laurie Austin Ingrid Gilbert"" and concatenate them.",endt
"Take the last letters of each words in ""Julian Scott Gonzalo Esteban"" and concatenate them.",nton
"Take the last letters of each words in ""Irene Maricela Estela Bobby"" and concatenate them.",eaay
"Take the last letters of each words in ""Joey Mariah Claudia Nelson"" and concatenate them.",yhan
"Take the last letters of each words in ""Maurice Isaiah Trey Edwin"" and concatenate them.",ehyn
"Take the last letters of each words in ""Vicky Lucia Freddy Abraham"" and concatenate them.",yaym
"Take the last letters of each words in ""Louis Laura Joann Nathan"" and concatenate them.",sann
"Take the last letters of each words in ""Chase Sally Shaun Hunter"" and concatenate them.",eynr
"Take the last letters of each words in ""Gabriel John Jerome Keith"" and concatenate them.",lneh
"Take the last letters of each words in ""Fidel Lorena Rhonda Israel"" and concatenate them.",laal
"Take the last letters of each words in ""Elaine Arthur Destiny Sheila"" and concatenate them.",erya
"Take the last letters of each words in ""Peter Jo Annette Mimi"" and concatenate them.",roei
"Take the last letters of each words in ""Cameron Araceli Rosy Wanda"" and concatenate them.",niya
"Take the last letters of each words in ""Cesar Gabriela Marvin Cristina"" and concatenate them.",rana
"Take the last letters of each words in ""Charlotte Mason Melinda Deb"" and concatenate them.",enab
"Take the last letters of each words in ""Mary Martha Ethan Caroline"" and concatenate them.",yane
"Take the last letters of each words in ""Lily Rachel Domingo Brooke"" and concatenate them.",yloe
"Take the last letters of each words in ""Rafael Nadia Faith Nicholas"" and concatenate them.",lahs
"Take the last letters of each words in ""Ty Leon Nicolas Carrie"" and concatenate them.",ynse
"Take the last letters of each words in ""Sandy Jorge Bonnie Damian"" and concatenate them.",yeen
"Take the last letters of each words in ""Samuel Courtney Kelly Glenn"" and concatenate them.",lyyn
"Take the last letters of each words in ""Manny Adam Marcos Mari"" and concatenate them.",ymsi
"Take the last letters of each words in ""Daniela Christian Bryan Rachael"" and concatenate them.",annl
"Take the last letters of each words in ""Devin Shelby Reyna Rolando"" and concatenate them.",nyao
"Take the last letters of each words in ""Maggie Helen Sherry Derrick"" and concatenate them.",enyk
"Take the last letters of each words in ""Junior Kenneth Nancy Glenda"" and concatenate them.",rhya
"Take the last letters of each words in ""Mike Joyce Lupe Karla"" and concatenate them.",eeea
"Take the last letters of each words in ""Aurora Lori Patty Shawn"" and concatenate them.",aiyn
"Take the last letters of each words in ""James Lindsey Olivia Steven"" and concatenate them.",syan
"Take the last letters of each words in ""Caitlin Jackson Beverly Alvaro"" and concatenate them.",nnyo
"Take the last letters of each words in ""Raquel Lydia Henry Max"" and concatenate them.",layx
"Take the last letters of each words in ""Josefina Lisa Raul Kathryn"" and concatenate them.",aaln
"Take the last letters of each words in ""Kristin Christy Cristian Tammy"" and concatenate them.",nyny
"Take the last letters of each words in ""Dawn Tanya Ronnie Amy"" and concatenate them.",naey
"Take the last letters of each words in ""Megan Douglas Oscar Jeffrey"" and concatenate them.",nsry
"Take the last letters of each words in ""Erika Ian Pablo Esther"" and concatenate them.",anor
"Take the last letters of each words in ""Roger Donna Mitch Mia"" and concatenate them.",raha
"Take the last letters of each words in ""Abigail Derek Bradley Becky"" and concatenate them.",lkyy
"Take the last letters of each words in ""Jacqueline Maureen Octavio Ted"" and concatenate them.",enod
"Take the last letters of each words in ""Clara Annie Regina Brett"" and concatenate them.",aeat
"Take the last letters of each words in ""Fabian Nicole Ana Joseph"" and concatenate them.",neah
"Take the last letters of each words in ""Joanne Mercedes Morgan Abby"" and concatenate them.",esny
"Take the last letters of each words in ""Kerry Theresa Ross Fabiola"" and concatenate them.",yasa
"Take the last letters of each words in ""Kimberly Colleen Kevin Vanessa"" and concatenate them.",ynna
"Take the last letters of each words in ""María Sue Leticia Josh"" and concatenate them.",aeah
"Take the last letters of each words in ""Brad Logan Oliver Edward"" and concatenate them.",dnrd
"Take the last letters of each words in ""Crystal Robin Patricia Pete"" and concatenate them.",lnae
"Take the last letters of each words in ""Karen Erin Marta Jay"" and concatenate them.",nnay
"Take the last letters of each words in ""Yvette Riley Bill Patti"" and concatenate them.",eyli
"Take the last letters of each words in ""Tamara Gladys Lindsay Tim"" and concatenate them.",asym
"Take the last letters of each words in ""Sean Mauricio Judy Jenna"" and concatenate them.",noya
"Take the last letters of each words in ""Terry Ariana Carolyn Marisa"" and concatenate them.",yana
"Take the last letters of each words in ""Carmen Marie Kenny Christopher"" and concatenate them.",neyr
"Take the last letters of each words in ""Chris Franklin Molly Luis"" and concatenate them.",snys
"Take the last letters of each words in ""Carla Esmeralda Ryan Bella"" and concatenate them.",aana
"Take the last letters of each words in ""Thomas Ron Julia Dolores"" and concatenate them.",snas
"Take the last letters of each words in ""Shannon Toni Cathy Gustavo"" and concatenate them.",niyo
"Take the last letters of each words in ""Alison Ricky Gail Bianca"" and concatenate them.",nyla
"Take the last letters of each words in ""Melvin Jon Rodney Simon"" and concatenate them.",nnyn
"Take the last letters of each words in ""Jeff Guillermo Sonia Maria"" and concatenate them.",foaa
"Take the last letters of each words in ""Dean German Fernando Susie"" and concatenate them.",nnoe
"Take the last letters of each words in ""Jazmin Joanna Jacob Paige"" and concatenate them.",nabe
"Take the last letters of each words in ""Susana Meghan Justin Wayne"" and concatenate them.",anne
"Take the last letters of each words in ""Miguel Jen Sam Angelo"" and concatenate them.",lnmo
"Take the last letters of each words in ""Noe Katrina Patrick Phillip"" and concatenate them.",eakp
"Take the last letters of each words in ""Carol Tj Erica Catherine"" and concatenate them.",ljae
"Take the last letters of each words in ""Wilson Kendra Samantha Sabrina"" and concatenate them.",naaa
"Take the last letters of each words in ""Efrain Beatriz Dominic Lance"" and concatenate them.",nzce
"Take the last letters of each words in ""Darrell Maritza Hilda Amelia"" and concatenate them.",laaa
"Take the last letters of each words in ""Gilberto Melanie Ronald Erick"" and concatenate them.",oedk
"Take the last letters of each words in ""Diego Jordan Mario Ricardo"" and concatenate them.",onoo
"Take the last letters of each words in ""Noah Suzanne Natasha Bridget"" and concatenate them.",heat
"Take the last letters of each words in ""Jeremy Desiree Corey Lauren"" and concatenate them.",yeyn
"Take the last letters of each words in ""Marcelo Gerardo Jeremiah Sylvia"" and concatenate them.",ooha
"Take the last letters of each words in ""Cody Holly Moises Linda"" and concatenate them.",yysa
"Take the last letters of each words in ""Harold Rocio Eileen Ruby"" and concatenate them.",dony
"Take the last letters of each words in ""Esperanza Noemi Andy Tracy"" and concatenate them.",aiyy
"Take the last letters of each words in ""Jared Betsy Rosario Alberto"" and concatenate them.",dyoo
"Take the last letters of each words in ""Grant Shane Karl Daisy"" and concatenate them.",tely
"Take the last letters of each words in ""Kate Walter Hannah Saul"" and concatenate them.",erhl
"Take the last letters of each words in ""Brandon Alex Marco Philip"" and concatenate them.",nxop
"Take the last letters of each words in ""Brandy Timothy Pam Spencer"" and concatenate them.",yymr
"Take the last letters of each words in ""Bob Madison Agustin Javier"" and concatenate them.",bnnr
"Take the last letters of each words in ""Evan Jimmy Francis Tom"" and concatenate them.",nysm
"Take the last letters of each words in ""Janice Darren Michelle Princess"" and concatenate them.",enes
"Take the last letters of each words in ""Dana Roy Cynthia Alma"" and concatenate them.",ayaa
"Take the last letters of each words in ""Ismael Renee Krystal Margarita"" and concatenate them.",lela
"Take the last letters of each words in ""Phyllis Dylan Steve Benjamin"" and concatenate them.",snen
"Take the last letters of each words in ""Sarah Jason Nate Eric"" and concatenate them.",hnec
"Take the last letters of each words in ""Kathy Jenn Pat Phil"" and concatenate them.",yntl
"Take the last letters of each words in ""Jake Juan Carlos Tommy Brenda"" and concatenate them.",esya
"Take the last letters of each words in ""Cruz Pepe Colin Jesus"" and concatenate them.",zens
"Take the last letters of each words in ""Alfredo Leslie Betty Calvin"" and concatenate them.",oeyn
"Take the last letters of each words in ""Jenny Connor Curtis Sydney"" and concatenate them.",yrsy
"Take the last letters of each words in ""Dulce Terri Rene Isaac"" and concatenate them.",eiec
"Take the last letters of each words in ""Hector Barry Alexa Ed"" and concatenate them.",ryad
"Take the last letters of each words in ""Jamie Dora Caleb Tomas"" and concatenate them.",eabs
"Take the last letters of each words in ""Mark Denise Anthony Omar"" and concatenate them.",keyr
"Take the last letters of each words in ""Charles Manuel Alondra Debra"" and concatenate them.",slaa
"Take the last letters of each words in ""Greg Marcus Virginia Maribel"" and concatenate them.",gsal
"Take the last letters of each words in ""Salvador Santos William Mariana"" and concatenate them.",rsma
"Take the last letters of each words in ""Wendy Adolfo Eli Doris"" and concatenate them.",yois
"Take the last letters of each words in ""Kristen April David Gene"" and concatenate them.",nlde
"Take the last letters of each words in ""Valeria Rey Pamela Susan"" and concatenate them.",ayan
"Take the last letters of each words in ""Gina Haley Juana Tara"" and concatenate them.",ayaa
"Take the last letters of each words in ""Giovanni Silvia Joshua Katie"" and concatenate them.",iaae
"Take the last letters of each words in ""Luke Kathleen Mayra Randy"" and concatenate them.",enay
"Take the last letters of each words in ""Luz Stanley Carlos Sophia"" and concatenate them.",zysa
"Take the last letters of each words in ""Naomi Elsa Dale Angelina"" and concatenate them.",iaea
"Take the last letters of each words in ""Cj Stacy Eugene Alyssa"" and concatenate them.",jyea
"Take the last letters of each words in ""Sandra Alfonso Felicia Connie"" and concatenate them.",aoae
"Take the last letters of each words in ""Albert Robert Troy Rose"" and concatenate them.",ttye
"Take the last letters of each words in ""Billy Felipe Monique Jessica"" and concatenate them.",yeea
"Take the last letters of each words in ""Marilyn Alice Kelsey Gerald"" and concatenate them.",neyd
"Take the last letters of each words in ""Francisco Isabel Jonathan Angelica"" and concatenate them.",olna
"Take the last letters of each words in ""Joaquin Tonya Jane Hugo"" and concatenate them.",naeo
"Take the last letters of each words in ""Jerry Beth Kristina Christina"" and concatenate them.",yhaa
"Take the last letters of each words in ""Joel Rigoberto Vivian Rita"" and concatenate them.",lona
"Take the last letters of each words in ""Nathaniel Erik Marcia Rosa"" and concatenate them.",lkaa
"Take the last letters of each words in ""Stephanie Al Angie Tony"" and concatenate them.",eley
"Take the last letters of each words in ""Nina Jennifer Ruth Guadalupe"" and concatenate them.",arhe
"Take the last letters of each words in ""Chelsea Xavier Zack Raymond"" and concatenate them.",arkd
"Take the last letters of each words in ""Audrey Elena Chloe Lucy"" and concatenate them.",yaey
"Take the last letters of each words in ""Jocelyn Devon Johnny Aj"" and concatenate them.",nnyj
"Take the last letters of each words in ""Liliana Doug Larry Juanita"" and concatenate them.",agya
"Take the last letters of each words in ""Lupita Diana Mona Ralph"" and concatenate them.",aaah
"Take the last letters of each words in ""Norma Drew Vicki Rodrigo"" and concatenate them.",awio
"Take the last letters of each words in ""Milton Ariel Cecilia Brittney"" and concatenate them.",nlay
"Take the last letters of each words in ""Sharon Emmanuel Miriam Jade"" and concatenate them.",nlme
"Take the last letters of each words in ""Jeanette Sara Josue Bertha"" and concatenate them.",eaea
"Take the last letters of each words in ""Jj Daniel Lynn Gaby"" and concatenate them.",jlny
"Take the last letters of each words in ""Angel Andrew Matt Leonel"" and concatenate them.",lwtl
"Take the last letters of each words in ""Jesse Leah Dustin Deanna"" and concatenate them.",ehna
"Take the last letters of each words in ""Rodolfo Rebecca Shelly Michael"" and concatenate them.",oayl
"Take the last letters of each words in ""Delia Ellen Heather Alfred"" and concatenate them.",anrd
"Take the last letters of each words in ""Victor Jasmine Jack Casey"" and concatenate them.",reky
"Take the last letters of each words in ""Jairo Marissa Liz Danielle"" and concatenate them.",oaze
"Take the last letters of each words in ""Savannah Alejandra Andres Ramiro"" and concatenate them.",haso
"Take the last letters of each words in ""Roberto Aida Brianna Arturo"" and concatenate them.",oaao
